序号,指标编号,指标名称,所属域,实现状态,事实层,DSL可表达,剩余缺口,说明
1,quality_0,收治人数（转入+入院）,患者流转,IMPL,fact_patient_stay,YES,,复用 Handover 口径
2,quality_2,ICU收治患者床日数,患者流转,IMPL,fact_patient_stay,YES,,跨月已切分：事实层 stay_days 取「本周期 ∩ 在院区间」交集天数，指标层 agg=SUM 出数
3,quality_9,完成3h集束化治疗的患者数,脓毒症_感染性休克,IMPL,fact_sepsis_bundle,YES,,复用 SepsisBundle
4,quality_10,入ICU诊断为感染性休克,脓毒症_感染性休克,IMPL,fact_sepsis_bundle,YES,,
5,quality_11,入ICU诊断为感染性休克并全部完成6h bundle,脓毒症_感染性休克,IMPL,fact_sepsis_bundle,YES,,
6,quality_12,使用抗菌药物前病原学检验标本送检,抗菌药送检,IMPL,fact_abx_culture,YES,,老脚本越界取值（我方修正）
7,quality_13,使用抗菌药物治疗,抗菌药送检,IMPL,fact_abx_culture,YES,,quality_12 的分母，单独出数便于核对；来源清单另有同义条目 428/430（治疗性口径待定，故为占位）
8,quality_14,进行深静脉血栓预防的患者数,DVT预防,PENDING_SOURCE,fact_dvt,YES,,待接 useDvtAdviceList
9,quality_15,ICU收治患者预计病死率(%),评分_资源,IMPL,fact_score_resource,YES,,复用 Apache2
10,quality_16,ICU死亡患者数,患者流转,IMPL,fact_patient_stay,YES,,
11,quality_17,非计划气管插管拔管数,导管_管路_院感,PENDING_SOURCE,fact_device,YES,待接 tubeList 源表,表达式就绪（unplanned_removal 已派生）；老脚本循环变量泄漏
12,quality_18,ICU患者气管插管拔管数,导管_管路_院感,PENDING_SOURCE,fact_device,YES,待接 tubeList 源表,表达式就绪（removed_in_period 已派生）
13,quality_19,气管插管计划拔管后48h内再插管数,导管_管路_院感,PENDING_SOURCE,fact_device,YES,待接 tubeList 源表,接源后需补一条同患者配对派生列（可沿用 readmit_48h 的 EXISTS + DATEDIFF 写法）；老脚本时间桶错位
14,quality_20,术后非计划转入例数,患者流转,PENDING_SOURCE,fact_patient_stay,YES,,待接「非计划」判定源（手术计划状态）；事实层已备 post_op，缺该标识则与 quality_21 无法区分
15,quality_21,术后转入例数,患者流转,IMPL,fact_patient_stay,YES,,
16,quality_22,转出ICU后48h内重返ICU,患者流转,IMPL,fact_patient_stay,YES,,事实层 readmit_48h（EXISTS + DATEDIFF(HOUR) ≤ 48）已实现
17,quality_23,转出ICU,患者流转,IMPL,fact_patient_stay,YES,,
18,quality_24,发生呼吸机相关性肺炎（VAP）数,导管_管路_院感,PLACEHOLDER,fact_device,YES,口径待定,VAP 判定标准待院感科确认（是否采用 CDC/NHSN 的 VAE 定义、感染窗口多长）
19,quality_25,患者有创机械通气天数,导管_管路_院感,PLACEHOLDER,fact_device,YES,口径待定,需明确同一次住院多次上机是否合并、跨月如何切分
