"序号","指标编号","指标名称","所属域","计算方式","有脚本","正向数据源","反向数据源","录入方式","新系统落点","复用度","域工作量_人天","备注"
"1","quality_0","收治人数（转入+入院）","患者流转","cal_custom_js","是","recordPatient","patientList","input","HandoverServiceImpl.listDischargedPatients 扩展","中","3",""
"2","quality_2","ICU收治患者床日数","患者流转","cal_custom_js","是","patientTimeList","patientList","input","HandoverServiceImpl.listDischargedPatients 扩展","中","",""
"3","quality_9","完成3h集束化治疗的患者数","脓毒症_感染性休克","cal_custom_js","是","patientBundleList","bundleList","select","SepsisBundleServiceImpl 扩展并修正 bundle 口径","中高","",""
"4","quality_10","入ICU诊断为感染性休克","脓毒症_感染性休克","cal_custom_js","是","recordPatient","patientList","select","SepsisBundleServiceImpl 扩展并修正 bundle 口径","中高","5",""
"5","quality_11","入ICU诊断为感染性休克并全部完成6h bundle","脓毒症_感染性休克","cal_custom_js","是","patientBundleList","bundleList","select","SepsisBundleServiceImpl 扩展并修正 bundle 口径","中高","",""
"6","quality_12","使用抗菌药物前病原学检验标本送检","抗菌药送检","cal_custom_js","是","useAnitCheckAdviceList","useAnitCheckAdviceList","select","AbxDrugRecognizer 复用 + 新建送检时序判定","中","4","老脚本越界取useDvtAdviceList[s] 依赖未声明"
"7","quality_13","使用抗菌药物治疗","抗菌药送检","cal_custom_js","是","useAnitCheckAdviceList","useAnitCheckAdviceList","select","AbxDrugRecognizer 复用 + 新建送检时序判定","中","","与quality_430口径重复 反向脚本误用"
"8","quality_14","进行深静脉血栓预防的患者数","DVT预防","cal_custom_js","是","useDvtAdviceList,originalAdviceList","dvtExecuteAdviceList,dvtAdviceList","select","新建 DvtProphylaxisService（药物/机械/滤器/诊断/死亡）","无","6",""
"9","quality_15","ICU收治患者预计病死率(%)","评分_资源","cal_custom_js","是","recordApacheList","apacheList","input","Apache2ServiceImpl 复用 + 新建 bed/staff 查询","中","3",""
"10","quality_16","ICU死亡患者数","患者流转","cal_custom_js","是","recordPatient","patientList","select","HandoverServiceImpl.listDischargedPatients 扩展","中","",""
"11","quality_17","非计划气管插管拔管数","导管_管路_院感","cal_custom_js","是","tubeList","tubeList","input","新建 DeviceInfectionService（管路、导管日、VAP/CRBSI/CAUTI）","无","8","老脚本循环变量泄漏 时间桶错位"
"12","quality_18","ICU患者气管插管拔管数","导管_管路_院感","cal_custom_js","是","tubeList","tubeList","input","新建 DeviceInfectionService（管路、导管日、VAP/CRBSI/CAUTI）","无","",""
"13","quality_19","气管插管计划拔管后48h内再插管数","导管_管路_院感","cal_custom_js","是","tubeList","tubeList","input","新建 DeviceInfectionService（管路、导管日、VAP/CRBSI/CAUTI）","无","","老脚本循环变量泄漏 时间桶错位"
"14","quality_20","术后非计划转入例数","患者流转","cal_custom_js","是","recordPatient","patientList","select","HandoverServiceImpl.listDischargedPatients 扩展","中","",""
"15","quality_21","术后转入例数","患者流转","cal_custom_js","是","recordPatient","patientList","select","HandoverServiceImpl.listDischargedPatients 扩展","中","",""
"16","quality_22","转出ICU后48h内重返ICU","患者流转","cal_custom_js","是","recordPatient","patientList","select","HandoverServiceImpl.listDischargedPatients 扩展","中","",""
"17","quality_23","转出ICU","患者流转","cal_custom_js","是","recordPatient","patientList","select","HandoverServiceImpl.listDischargedPatients 扩展","中","",""
"18","quality_24","发生呼吸机相关性肺炎（VAP）数","导管_管路_院感","cal_custom_js","否-空壳","无","无","input","新建 DeviceInfectionService（管路、导管日、VAP/CRBSI/CAUTI）","无","","老系统未实现(无脚本) 无对照基准"
"19","quality_25","患者有创机械通气天数","导管_管路_院感","cal_custom_js","否-空壳","无","无","input","新建 DeviceInfectionService（管路、导管日、VAP/CRBSI/CAUTI）","无","","老系统未实现(无脚本) 无对照基准"
"20","quality_26","发生血管内导管相关血流感染（CRBSI）数","导管_管路_院感","cal_custom_js","是","patientBundleList","无","input","新建 DeviceInfectionService（管路、导管日、VAP/CRBSI/CAUTI）","无","","数据源错配(指向脓毒症bundle)"
"21","quality_27","患者血管内导管留置天数","导管_管路_院感","cal_custom_js","否-空壳","无","无","input","新建 DeviceInfectionService（管路、导管日、VAP/CRBSI/CAUTI）","无","","老系统未实现(无脚本) 无对照基准"
"22","quality_30","ICU实际病死率(%)","患者流转","无(人工/规则)","不适用","无","无","input","HandoverServiceImpl.listDischargedPatients 扩展","中","",""
"23","quality_31","ICU患者预计病死率(%)","评分_资源","无(人工/规则)","不适用","无","无","input","Apache2ServiceImpl 复用 + 新建 bed/staff 查询","中","",""
"24","quality_32","APACHEⅡ评分≥15分","评分_资源","cal_custom_js","是","recordApacheList","apacheList","select","Apache2ServiceImpl 复用 + 新建 bed/staff 查询","中","",""
"25","quality_34","完成1h集束化治疗的患者数","脓毒症_感染性休克","cal_custom_js","是","patientBundleList","无","select","SepsisBundleServiceImpl 扩展并修正 bundle 口径","中高","",""
"26","quality_301","同期ICU实际开放总床日数","评分_资源","cal_custom_js","是","bedInfoList","无","input","Apache2ServiceImpl 复用 + 新建 bed/staff 查询","中","",""
"27","quality_302","ICU医师总数","评分_资源","cal_custom_js","是","staffInfoList","无","input","Apache2ServiceImpl 复用 + 新建 bed/staff 查询","中","",""
"28","quality_303","ICU护士总数","评分_资源","cal_custom_js","是","staffInfoList","无","input","Apache2ServiceImpl 复用 + 新建 bed/staff 查询","中","",""
"29","quality_304","ICU实际开放床位数","评分_资源","cal_custom_js","是","bedInfoList","无","input","Apache2ServiceImpl 复用 + 新建 bed/staff 查询","中","",""
"30","quality_305","进行镇静评估的 ICU患者人数","评估依从","cal_custom_js","是","dvtObserveList","observeList,patientList","input","新建 AssessmentService（镇静/镇痛/意识/EN 评估）","低","4",""
"31","quality_306","进行镇痛评估的 ICU患者人数","评估依从","cal_custom_js","是","dvtObserveList","observeList","input","新建 AssessmentService（镇静/镇痛/意识/EN 评估）","低","",""
"32","quality_307","ICU内完成意识评估的急性脑损伤患者人数","评估依从","cal_custom_js","是","patientDiagnosisList,dvtObserveList","observeList","input","新建 AssessmentService（镇静/镇痛/意识/EN 评估）","低","",""
"33","quality_308","同期ICU急性脑损伤患者总人数","评估依从","cal_custom_js","是","patientDiagnosisList","patientList","input","新建 AssessmentService（镇静/镇痛/意识/EN 评估）","低","",""
"34","quality_309","入住ICU超过48h的患者中48h内启动EN的患者人数","评估依从","cal_custom_js","是","adviceExecuteList","adviceExecuteList,patientList","input","新建 AssessmentService（镇静/镇痛/意识/EN 评估）","低","",""
"35","quality_310","同期入住ICU超过48h的患者总人数","评估依从","cal_custom_js","是","recordPatient","patientList","input","新建 AssessmentService（镇静/镇痛/意识/EN 评估）","低","",""
"36","quality_311","中重度 ARDS 患者中实施俯卧位通气治疗的人数","ARDS专项","cal_custom_js","是","lisItemList,dvtObserveList,bedVentAdviceList","observeList,bedVentAdviceList,lisItemList","input","ArdsServiceImpl 扩展：病因分类/通气方式/俯卧位/ECMO/肌松/院内死亡","低","15",""
"37","quality_312","应实施俯卧位通气治疗的中重度ARDS 患者总人数","ARDS专项","cal_custom_js","是","lisItemList,dvtObserveList","observeList,lisItemList","input","ArdsServiceImpl 扩展：病因分类/通气方式/俯卧位/ECMO/肌松/院内死亡","低","",""
"38","quality_401","全院收治人数","患者流转","无(人工/规则)","不适用","无","无","-","HandoverServiceImpl.listDischargedPatients 扩展","中","",""
"39","quality_402","全院实际占用床日数","患者流转","无(人工/规则)","不适用","无","无","-","HandoverServiceImpl.listDischargedPatients 扩展","中","",""
"40","quality_403","同期患者总数（转出+出院）","患者流转","cal_custom_js","是","recordPatient","无","input","HandoverServiceImpl.listDischargedPatients 扩展","中","",""
"41","quality_404","仅进行深静脉血栓药物预防的患者数","DVT预防","cal_custom_js","是","useDvtAdviceList,originalAdviceList","无","-","新建 DvtProphylaxisService（药物/机械/滤器/诊断/死亡）","无","",""
"42","quality_405","进行深静脉血栓药物预防的患者总数","DVT预防","cal_custom_js","是","useDvtAdviceList","无","-","新建 DvtProphylaxisService（药物/机械/滤器/诊断/死亡）","无","",""
"43","quality_406","仅进行深静脉血栓机械预防的患者数","DVT预防","cal_custom_js","是","useDvtAdviceList,originalAdviceList","无","-","新建 DvtProphylaxisService（药物/机械/滤器/诊断/死亡）","无","",""
"44","quality_407","进行深静脉血栓机械预防的患者总数","DVT预防","cal_custom_js","是","originalAdviceList","无","-","新建 DvtProphylaxisService（药物/机械/滤器/诊断/死亡）","无","",""
"45","quality_408","仅进行下腔静脉滤器置入的患者数","DVT预防","cal_custom_js","是","originalAdviceList,useDvtAdviceList","无","-","新建 DvtProphylaxisService（药物/机械/滤器/诊断/死亡）","无","",""
