RiskID,使用场景,危害源,事件序列,危害情况,可能伤害,严重度S,概率P,初始等级,可接受性,控制优先级,控制措施,控制需求ID,验证方式,剩余S,剩余P,剩余等级,剩余可接受性,受益分析,责任人,状态
RISK-001,记录录入,患者主数据错配（转床/住院号变更/同名）,系统按床位或姓名取数并写入另一患者记录,数据记录到错误患者名下,依错误数据进行通气与终止决策致病情恶化,3,2,中,不可接受,1-本质安全,录入前三要素核对（床号+住院号+姓名）且采集数据以 patient_id 强绑定、跨患者写入硬阻断,SR-01;SR-02,测试TC-01/TC-02,3,1,低,可接受（验证后复核）,不适用,ICU护士长（待评审确认）,措施已定义，待评审
RISK-002,数据展示,采集窗口内无数据或接口中断,界面仍显示上一次采集值,旧值被当作当前值用于判断,未及时发现氧合恶化而延误干预,3,3,高,不可接受,1-本质安全,每个值携带采集时间戳与采集窗口；窗口内无数据一律置空并标记未采集、转手工录入（不沿用历史值）；顶部展示数据源最近更新时间供人工判断（本版按评审决议不做陈旧告警，残余风险上升需评审确认）,SR-03;SR-04,测试TC-03/TC-04,3,2,中,可接受（2026-09-17 临床评审确认接受；不实现任何告警或补偿代码，以打印件人工核对为准）,不适用,ICU护士长（已评审确认）,残余风险已接受，待验证
RISK-003,时点录入,时点选择错误或事后补录填错列,值被写入相邻时点,趋势曲线失真,P/F 改善被误判为有效而继续无效治疗,2,3,中,需降低,2-防护,仅当前时点可直接编辑，非当前时点修改须填原因；自动值按采集时间归位；修改保留原值,SR-05;SR-06,测试TC-05/TC-06,2,1,低,可接受（验证后复核）,不适用,ICU护士长（待评审确认）,措施已定义，待评审
RISK-004,计算项,FiO2 单位混用（百分数与小数）或手改计算项,同一参数两种量纲混入计算,氧合指数相差 100 倍,ARDS 分级与俯卧位决策基于错误氧合指数,3,2,中,不可接受,1-本质安全,FiO2 仅接受百分比并做21-100边界校验；P/F与驱动压为只读计算项；缺输入显示待补而非0,SR-07;SR-08,测试TC-07/TC-08,3,1,低,可接受（验证后复核）,不适用,信息科（待评审确认）,措施已定义，待评审
RISK-005,异常识别,407个单元格中异常值分散,夜间低年资护士逐格浏览且系统无提醒,异常值未被发现,未及时处理低氧或高驱动压致肺损伤,3,3,高,不可接受,2-防护,按内置固定参考区间标红做视觉区分；打印件保留红字便于人工核对；本版按评审决议不提供告警汇总、定位与复核确认（残余风险上升，需临床评审确认接受）,SR-09,检查TC-09,3,2,中,可接受（2026-09-17 临床评审确认接受；不实现任何告警或补偿代码，以界面标红与打印件人工核对为准）,不适用,ICU护士长（已评审确认）,残余风险已接受，待验证
RISK-006,数据可信,自动采集值被直接改写且无痕,原值丢失,记录与设备数据不一致,质控追溯、科研与纠纷处置无证据,2,3,中,需降低,1-本质安全,采集值与检验值只读；修正走双轨（原值+修正值+原因+人+时间）并写入审计日志,SR-10;SR-06,测试TC-10,2,1,低,可接受（验证后复核）,不适用,质控（待评审确认）,措施已定义，待评审
RISK-007,系统可用,断网或系统宕机期间无法录入,护士改用纸片记录后未回录,记录缺失或事后凭记忆补录,数据失真、并发症与终止原因遗漏,2,3,中,需降低,2-防护,离线本地缓存与恢复后自动同步、冲突人工选择；保留打印版式作为纸质降级载体,SR-11,测试TC-11,2,2,中,可接受（验证后复核）,不适用,信息科（待评审确认）,措施已定义，待评审
RISK-008,签名,共用账号或代签,签名不反映实际操作人,责任不可追溯,质量事件无法定位责任人,2,3,中,需降低,1-本质安全,实名账号登录；护士与医师双人签名；签名记录账号/时间/终端并提示禁止代签,SR-12,检查TC-12,2,1,低,可接受（验证后复核）,不适用,护理部（待评审确认）,措施已定义，待评审
RISK-009,时点管理,删除时点导致已填数据丢失,历史记录被物理删除,统计口径变化且无法回溯,疗程数据不完整、质控统计失真,2,2,中,需降低,1-本质安全,时点软删除并二次确认填原因；历史查询、统计与打印仍包含已移除时点数据,SR-13,测试TC-13,2,1,低,可接受（验证后复核）,不适用,信息科（待评审确认）,措施已定义，待评审
RISK-010,打印归档,打印模板与屏幕取数不一致或漏项,打印时部分参数未渲染,归档记录缺项,纸质病历不完整、法律风险,2,2,中,需降低,1-本质安全,打印与页面共用数据源；打印前必填校验并列出缺失清单；页脚含记录编号/打印人/时间/页码,SR-14,检查TC-14,2,1,低,可接受（验证后复核）,不适用,信息科（待评审确认）,措施已定义，待评审
RISK-011,阈值配置,科室自定义阈值单位或量级错误,阈值被错误配置,误报或漏报异常,误报致报警疲劳、漏报致恶化未发现,2,2,中,需降低,1-本质安全,功能范围移除：不提供阈值配置能力，参考区间内置固定并随需求版本受控，调整须走需求变更与版本发布,SR-15,检查TC-15,2,1,低,可接受（功能移除）,不适用,临床（待评审确认）,措施已定义，待评审
RISK-012,打印归档,归档回传失败或重复回传,HIS 未收到或收到多份同一记录文档,纸质已归档但电子病历无记录或存在重复文档,病历不完整、医疗记录不一致引发法律责任,2,2,中,需降低,2-防护,调用参数设置中配置的现有归档接口（接口选择/文档类型编码/模板编号/科室编码/超时/重试）；回传记录文档号与状态、失败可手动重传、同一记录幂等、列表页可见回传状态,SR-19;SR-22,测试TC-19/TC-22,2,1,低,可接受（验证后复核）,不适用,信息科（待评审确认）,措施已定义，待评审
RISK-013,文书字段显示,APACHE II 显示开关被误关或只关闭部分位置,页面与文书输出不一致,打印或回传文书缺少 APACHE II 评分,病历信息不完整影响病情严重程度判断与科研统计,2,2,中,需降低,1-本质安全,一处开关管四处（填写页/文书预览/打印文书/回传文书）保持一致；默认显示；关闭后整行重排不留空位；打印预览所见即所得便于核对；开关变更留痕,SR-21,演示TC-21,2,1,低,可接受（验证后复核）,不适用,护理部（待评审确认）,措施已定义，待评审
