ID,层级,需求描述,来源类型,来源ID,验证方法,验证用例ID,状态
UR-01,UR,一次俯卧位疗程形成一条记录，护士与医师可查看、编辑、打印、复制新建,临床需要,纸质表-整表,确认,VAL-01,草案
UR-02,UR,呼吸机参数与生命体征自动带出、血气检验自动同步，护士不重复抄写,临床需要,纸质表-监测记录,确认,VAL-02,草案
UR-03,UR,默认 11 个监测时点，允许按科室或患者增删，删除后历史不丢失,临床需要,纸质表-时点,确认,VAL-03,草案
UR-04,UR,氧合指数、驱动压、氧合指数变化、持续时长由系统计算，无需也不允许手工修改,临床需要,纸质表-计算项,演示,VAL-02,草案
UR-05,UR,异常值醒目可见：按内置参考区间标红作视觉区分，不弹窗不提示不阻断,临床需要,危害H05,检查,VAL-04,草案
UR-06,UR,断网或接口中断时仍可录入，恢复后自动同步并提示冲突,临床需要,危害H07,测试,TC-11,草案
UR-07,UR,提交需记录护士与记录医师双人签名，事后修改全程留痕,临床需要,纸质表-签名,检查,VAL-05,草案
UR-08,UR,打印还原纸质原表版式（真实1:1预览），并调用现有归档接口回传，可直接归档,临床需要,纸质表-版式,检查,VAL-05,草案
UR-09,UR,列表页能直接看出本次俯卧位是否有效及有无并发症,临床需要,纸质表-并发症,演示,VAL-01,草案
UR-10,UR,APACHE II 评分是否出现在页面与文书中，由科室在参数设置中开关控制,管理需要,评审决议v4-5,演示,VAL-06,草案
SR-01,SR,进入录入前须通过身份三要素核对（床号+住院号+姓名），任一项不匹配禁止进入录入态,UR;RISK,UR-01;RISK-001,测试,TC-01,草案
SR-02,SR,采集数据以 patient_id 强绑定；接口返回患者标识与当前记录不一致时拒绝写入并留日志,UR;RISK,UR-02;RISK-001,测试,TC-02,草案
SR-03,SR,每个数值携带采集时间戳与采集窗口；生命体征与呼吸机采集窗口为时点前后15分钟、血气检验为前后60分钟；窗口内取最近一条，窗口内无数据一律置空并标记未采集转手工录入，不沿用历史值、不做陈旧判定,UR;RISK,UR-02;RISK-002,测试,TC-03,草案
SR-04,SR,页面顶部展示数据源最近更新时间（监护仪/LIS），仅作信息展示，不做告警、不做中断提醒,UR;RISK,UR-02;RISK-002,检查,TC-04,草案
SR-05,SR,任何时点（含已提交记录）均允许更正且不设修改时限；更正须填写原因，系统保留原值、新值、修改人与时间,UR;RISK,UR-03;UR-07;RISK-003,测试,TC-05,草案
SR-06,SR,数据变更写入审计日志：记录ID、时点、参数项、原值、新值、修改人、时间、原因,UR;RISK,UR-07;RISK-003;RISK-006,检查,TC-06,草案
SR-07,SR,FiO2 仅接受百分比（21-100），拒绝小数与越界值并提示；单位随值存储并在界面显示,UR;RISK,UR-04;RISK-004,测试,TC-07,草案
SR-08,SR,P/F、驱动压、P/F 变化、持续时长为只读计算项；任一输入缺失时显示待补而非 0,UR;RISK,UR-04;RISK-004,测试,TC-08,草案
SR-09,SR,异常值按内置固定参考区间标红显示；不做异常汇总计数、不做一键定位、不做告警弹窗、不要求复核人确认,UR;RISK,UR-05;RISK-005,检查,TC-09,草案
SR-10,SR,自动采集值与检验同步值只读；人工修正须填写原因，系统同时保留原值与修正值,UR;RISK,UR-02;RISK-006,测试,TC-10,草案
SR-11,SR,断网时录入数据本地缓存，恢复后自动同步；冲突时提示人工选择，不得静默覆盖,UR;RISK,UR-06;RISK-007,测试,TC-11,草案
SR-12,SR,提交需记录护士与记录医师两人实名签名；签名记录账号、时间、终端；提示禁止代签,UR;RISK,UR-07;RISK-008,检查,TC-12,草案
SR-13,SR,时点删除为软删除，须二次确认并填原因；历史查询、统计与打印仍包含已移除时点的历史数据,UR;RISK,UR-03;RISK-009,测试,TC-13,草案
SR-14,SR,打印模板与页面共用同一数据源；打印前校验必填项，缺项阻断并列出缺失清单；页脚含记录编号、打印人、时间、页码,UR;RISK,UR-08;RISK-010,检查,TC-14,草案
SR-15,SR,系统不提供阈值配置功能：参考区间内置固定并随需求版本受控，变更须走需求变更与版本发布流程,UR;RISK,UR-05;RISK-011,检查,TC-15,草案
SR-16,SR,默认时点模板 11 个（翻身前、翻身后即刻、2/4/6/8/10/12/14/16h、复仰后）；新增时点按相对开始偏移自动推算计划时间,UR,UR-03,测试,TC-16,草案
SR-17,SR,列表页按疗程展示，含 P/F 变化、最低驱动压、并发症、状态、最后更新人与时间；支持按科室/日期/患者/状态筛选,UR,UR-09,演示,TC-17,草案
SR-18,SR,单记录 407 单元格场景下首屏渲染不超过 2 秒、保存响应不超过 1 秒（100 并发）,非功能,NF-01,测试,TC-18,草案
SR-19,SR,打印并归档时生成 PDF（含记录编号、页码、打印人、打印时间）并调用参数设置中配置的现有归档接口回传；记录文档号与回传状态，失败可手动重传且同一记录重复回传不产生重复文档,UR;RISK,UR-08;RISK-012,测试,TC-19,草案
SR-20,SR,观察项与检验项目中无对应数据元的参数（如 Ppeak、Pplat、HCO3-、BE）标记为手工来源，界面以角标与自动值区分，统计时可按来源筛选,UR,UR-02,检查,TC-20,草案
SR-21,SR,APACHE II 评分显示开关：参数设置中一处开关控制填写页、文书预览、打印文书、回传文书四处是否输出该字段；默认显示；配置层级为全院统一（不允许科室单独设置）；关闭后填写页隐藏且布局收缩、文书整行重排不留空位；仅影响显示不删数据，开关变更留痕,UR;RISK,UR-10;RISK-013,演示,TC-21,草案
SR-22,SR,归档调用现有归档接口：接口选择、文档类型编码、模板编号、科室编码、超时、重试次数与启用开关在参数设置中维护，系统按配置调用，不新开发归档接口；与 APACHE II、SOFA 评分归档为同一接口且传参结构一致，仅文档类型编码不同,UR;RISK,UR-08;RISK-012,测试,TC-22,草案
