UR_ID,SR_ID,RiskID,设计元素ID,接口ID,验证用例ID,验证方法,确认用例ID,备注
UR-01,SR-01,RISK-001,DSG-FORM-IDENTITY,ICD-03,TC-01,测试,VAL-01,录入前三要素身份核对
UR-01,SR-18,,DSG-FORM-TABLE,,TC-18,测试,VAL-02,407单元格渲染与保存性能
UR-02,SR-02,RISK-001,DSG-SRCBIND,ICD-01,TC-02,测试,VAL-02,采集数据以 patient_id 强绑定
UR-02,SR-03,RISK-002,DSG-SRCBADGE,ICD-01;ICD-02,TC-03,测试,VAL-02,采集窗口±15/±60，窗口内无数据置空转手工，不沿用历史值
UR-02,SR-04,RISK-002,DSG-SYSBAR,ICD-01;ICD-02,TC-04,检查,VAL-02,展示数据源最近更新时间（信息展示，不告警）
UR-02,SR-10,RISK-006,DSG-READONLY,ICD-01;ICD-02,TC-10,测试,VAL-03,采集值只读与双轨修正
UR-03,SR-05,RISK-003,DSG-TPLOCK,,TC-05,测试,VAL-03,时点锁定与修改原因
UR-03,SR-13,RISK-009,DSG-TPCONF,,TC-13,测试,VAL-03,时点软删除与历史保留
UR-03,SR-16,,DSG-TPCONF,,TC-16,测试,VAL-03,默认11时点与相对偏移推算
UR-04,SR-07,RISK-004,DSG-FORM-TABLE,ICD-01,TC-07,测试,VAL-02,FiO2 单位与边界校验
UR-04,SR-08,RISK-004,DSG-CALC,ICD-01;ICD-02,TC-08,测试,VAL-02,计算项只读与缺输入待补
UR-05,SR-09,RISK-005,DSG-ABNCOLOR,,TC-09,检查,VAL-04,内置参考区间标红，不做告警/汇总/定位/复核确认
UR-05,SR-15,RISK-011,DSG-ABNCOLOR,,TC-15,检查,VAL-04,不提供阈值配置（功能范围移除，参考区间内置受控）
UR-06,SR-11,RISK-007,DSG-OFFLINE,ICD-01,TC-11,测试,VAL-05,离线缓存与恢复同步
UR-07,SR-06,RISK-003,DSG-AUDIT,,TC-06,检查,VAL-05,审计日志字段完整性（时点错填留痕）
UR-07,SR-06,RISK-006,DSG-AUDIT,,TC-06,检查,VAL-05,审计日志字段完整性（采集值修正留痕）
UR-07,SR-12,RISK-008,DSG-SIGN,,TC-12,检查,VAL-05,双人实名签名与禁止代签
UR-08,SR-14,RISK-010,DSG-PRINT,ICD-04,TC-14,检查,VAL-05,真实1:1预览、打印还原原表与缺项阻断
UR-09,SR-17,,DSG-LIST,ICD-03,TC-17,演示,VAL-01,列表页疗效与并发症概览
UR-08,SR-19,RISK-012,DSG-PRINT,ICD-04,TC-19,测试,VAL-05,调用现有归档接口回传、幂等重传与状态展示
UR-02,SR-20,,DSG-SRCBADGE,ICD-01;ICD-02,TC-20,检查,VAL-02,缺失数据元（Ppeak/Pplat/HCO3-/BE）标记手工来源
UR-10,SR-21,RISK-013,DSG-SETTINGS,,TC-21,演示,VAL-06,APACHE II 一处开关管四处；默认显示、全院统一（已定案 Q9）
UR-08,SR-22,RISK-012,DSG-SETTINGS,ICD-04,TC-22,测试,VAL-05,归档接口参数在参数设置中维护；与 APACHE II、SOFA 归档同一接口同一传参（已定案 Q4'）
